t_index term df
1472 burkina 8
1473 burkinab 1
1474 burkl 5
1475 burli 4
1476 burn 47
1477 burner 2
1478 burnt 3
1479 burri 1
1480 burst 10
1481 burton 5
1482 buse 19
1483 bush 99
1484 bushi 1
1485 bushnel 1
1486 busi 90
1487 busiest 1
1488 busili 1
1489 businessman 54
1490 businessmen 5
1491 buss 1
1492 bust 7
1493 bustamant 1
1494 bustl 5
1495 but 136
1496 butcher 4
1497 butter 1
1498 button 4
1499 buttress 5
1500 buy 44
1501 buyer 2
1502 buzz 6
1503 by 168
1504 bye 5
1505 bypass 5
1506 byrd 6
1507 c 49
1508 ca 1
1509 cab 2
1510 cabana 1
1511 cabin 2
1512 cabinet 32
1513 cabl 5
1514 cacak 8
1515 cach 2
1516 cadav 1
1517 cadet 1
1518 caeti 1
1519 cafe 4
1520 cafetalon 1
1521 cafeteria 1
1522 cage 5
1523 cagl 1
1524 cahokia 3
1525 cairo 5
1526 caisson 1
1527 cake 5
1528 cal 2
1529 calam 5
1530 calamit 1
1531 calatrava 2
1532 calcul 10
1533 calculu 1
1534 calcutta 3
1535 calderon 1
1536 calena 1
1537 caley 1
1538 calhoun 1
1539 calib 4
1540 calif 7
1541 california 32
1542 calina 1
1543 calix 1
1544 call 371
1545 callahan 1
1546 callen 3
1547 caller 5
1548 callou 1
1549 callous 1
1550 calm 38
1551 calmli 1
1552 calvario 6
1553 calvert 1
1554 cambodia 3
1555 camden 1
1556 came 236
1557 camel 3
1558 camera 26
1559 cameraman 3
1560 cameroon 2
1561 camouflag 7
1562 camp 49
1563 campaign 155
1564 campbel 1
1565 campfir 3
1566 campground 1
1567 campu 2
1568 can 197
1569 canada 14
1570 canal 21
1571 canberra 1
1572 cancel 38
1573 cancer 45
1574 candid 144
1575 candidaci 15
1576 candiotti 2
1577 candl 3
1578 candlelight 4
1579 candor 2
1580 cane 2
1581 canist 2
1582 cannaday 3
1583 cannistraro 4
1584 cannon 3
1585 cannot 62
1586 canon 1
1587 canopi 2
1588 canton 1
1589 cantwel 4
1590 canva 3
1591 canvass 3
1592 cap 19
1593 capabl 25
1594 capac 15
1595 cape 2
1596 capit 159
1597 capitalist 2
1598 capitol 28
1599 capitul 1
1600 capp 1
1601 capriati 33
1602 capsul 2
1603 capt 30
1604 captain 28
1605 captiv 6
1606 captor 4
1607 captur 58
1608 car 99
1609 caraca 2
1610 carat 1
1611 caravan 3
1612 carbon 2
1613 card 21
1614 cardboard 1
1615 cardiopulmonari 1
1616 care 85
1617 career 50
1618 caretak 4
1619 carey 1
1620 cargo 12
1621 caribbean 2
1622 carin 1
1623 cario 1
1624 carjack 2
1625 carl 4
1626 carlo 29
1627 carlson 1
1628 carlton 1
1629 carman 1
1630 carmelo 2
1631 carmen 4
1632 carmodi 4
1633 carnahan 66
1634 carnahand 1
1635 carniv 1
1636 carol 6
1637 carolina 5
1638 carpent 7
1639 carper 8
1640 carpet 5
1641 carpetbagg 2
1642 carr 1
1643 carri 183
1644 carrier 20
1645 carrol 2
1646 carrot 1
1647 carson 5
1648 cart 1
1649 carter 10
1650 carthag 2
1651 carv 9
1652 carver 1
1653 case 169
1654 casetch 1
1655 cash 24
1656 cashier 1
1657 casino 1
1658 casket 16
1659 cast 47
1660 castellano 2
1661 castiel 1
1662 castil 1
1663 castleburi 4
1664 castro 9
1665 casual 2
1666 casualti 22
1667 cat 2
1668 cataclysm 1
1669 catalyst 1
1670 catastroph 12
1671 catcal 1
1672 catch 16
1673 cate 4
1674 categor 1
1675 categori 1
1676 caterpillar 2
1677 cathedr 1
1678 catherin 3
1679 cathi 1
1680 cathol 7
1681 catholicrelief 1
1682 cattl 2
1683 caucasian 2
1684 caught 46
1685 caus 132
1686 caution 18
1687 cautiou 19
1688 cautious 2
1689 cave 3
1690 cavern 1
1691 cavort 1
1692 cawl 3
1693 cayman 3
1694 cb 6
1695 cd 1
1696 ceas 14
1697 ceaselessli 2
